# Demo catalog — curated list (docs/DEMO_DATA_PLAN_2026-09-03.md WS1, 300 titles).
# Columns: slice (ar|en|other) · region (ISO 3166-1 alpha-2 of the film's home country) · tier (popular|mid|niche, editorial judgment)
#          · year (expected release year, checked against Wikidata ±1) · titleEn (working English title) · wiki (lang:Wikipedia_page_title used to resolve the Wikidata item)
#          · titleAr (optional manual override when Wikidata has no Arabic label)
#          · genres (optional manual override, comma-separated, when Wikidata has no P136 genre)
# internalId is explicit (last column) and permanently reserved in catalog.demo.identity.json; row order has no identity meaning.
# Not in this list on purpose: the 15 FILM fixtures in seed.ts (Arrival, Inception, The Grand Budapest Hotel, Parasite, Spirited Away,
# Mad Max: Fury Road, Moonlight, The Matrix, The Handmaiden, Paddington 2, Blade Runner 2049, Whiplash, Pan's Labyrinth, Before Sunrise, Get Out).
slice	region	tier	year	titleEn	wiki	titleAr	genres	internalId
en	US	mid	2007	There Will Be Blood	en:There_Will_Be_Blood			DEMO0186
en	US	mid	2009	Inglourious Basterds	en:Inglourious_Basterds			DEMO0187
en	US	mid	2010	The Social Network	en:The_Social_Network			DEMO0188
en	US	mid	2011	Drive	en:Drive_(2011_film)			DEMO0189
en	US	mid	2013	Her	en:Her_(2013_film)			DEMO0190
en	US	mid	2014	Boyhood	en:Boyhood_(2014_film)			DEMO0191
en	US	mid	2014	Birdman	en:Birdman_(film)			DEMO0192
en	US	mid	2017	Lady Bird	en:Lady_Bird_(film)			DEMO0193
en	IT	mid	2017	Call Me by Your Name	en:Call_Me_by_Your_Name_(film)			DEMO0194
en	US	mid	2019	Marriage Story	en:Marriage_Story			DEMO0195
en	US	mid	2019	Once Upon a Time in Hollywood	en:Once_Upon_a_Time_in_Hollywood			DEMO0196
en	US	mid	2020	Nomadland	en:Nomadland			DEMO0197
en	NZ	mid	2021	The Power of the Dog	en:The_Power_of_the_Dog_(film)			DEMO0198
en	IE	mid	2022	The Banshees of Inisherin	en:The_Banshees_of_Inisherin			DEMO0199
en	US	mid	2023	Past Lives	en:Past_Lives_(film)			DEMO0200
en	US	mid	2024	Anora	en:Anora_(film)			DEMO0201
# ---- English-language: niche (24) ----
en	US	niche	1977	Eraserhead	en:Eraserhead			DEMO0202
en	DE	niche	1984	Paris, Texas	en:Paris,_Texas_(film)			DEMO0203
en	US	niche	1986	Blue Velvet	en:Blue_Velvet_(film)			DEMO0204
en	GB	niche	2006	This Is England	en:This_Is_England			DEMO0205
en	GB	niche	2009	Fish Tank	en:Fish_Tank_(film)			DEMO0206
en	US	niche	2002	Punch-Drunk Love	en:Punch-Drunk_Love			DEMO0207
en	US	niche	2004	Primer	en:Primer_(film)			DEMO0208
en	US	niche	2008	Wendy and Lucy	en:Wendy_and_Lucy			DEMO0209
en	GB	niche	2013	Under the Skin	en:Under_the_Skin_(2013_film)			DEMO0210
en	US	niche	2017	A Ghost Story	en:A_Ghost_Story			DEMO0211
en	US	niche	2017	The Florida Project	en:The_Florida_Project			DEMO0212
en	GB	niche	2022	Aftersun	en:Aftersun			DEMO0213
en	US	niche	2019	The Lighthouse	en:The_Lighthouse_(2019_film)			DEMO0214
en	US	niche	2018	Eighth Grade	en:Eighth_Grade_(film)			DEMO0215
en	AU	niche	2014	The Babadook	en:The_Babadook			DEMO0216
en	AU	niche	2010	Animal Kingdom	en:Animal_Kingdom_(film)			DEMO0217
en	US	niche	2017	First Reformed	en:First_Reformed			DEMO0218
en	US	niche	2021	The Green Knight	en:The_Green_Knight_(film)			DEMO0219
en	GB	niche	1949	The Third Man	en:The_Third_Man			DEMO0220
en	GB	niche	1945	Brief Encounter	en:Brief_Encounter			DEMO0221
en	US	niche	2013	Coherence	en:Coherence_(film)			DEMO0222
en	US	niche	2018	Leave No Trace	en:Leave_No_Trace_(film)			DEMO0223
en	US	niche	1995	Safe	en:Safe_(1995_film)			DEMO0224
en	US	niche	2016	Hell or High Water	en:Hell_or_High_Water_(film)			DEMO0225
# ---- Other languages: popular (30) ----
other	KR	popular	2003	Oldboy	en:Oldboy_(2003_film)			DEMO0226
other	KR	popular	2016	Train to Busan	en:Train_to_Busan			DEMO0227
other	JP	popular	1954	Seven Samurai	en:Seven_Samurai			DEMO0228
other	JP	popular	1988	My Neighbor Totoro	en:My_Neighbor_Totoro			DEMO0229
other	JP	popular	1997	Princess Mononoke	en:Princess_Mononoke			DEMO0230
other	JP	popular	2016	Your Name	en:Your_Name			DEMO0231
other	TW	popular	2000	Crouching Tiger, Hidden Dragon	en:Crouching_Tiger,_Hidden_Dragon			DEMO0232
other	HK	popular	2002	Infernal Affairs	en:Infernal_Affairs			DEMO0233
other	IR	popular	2011	A Separation	en:A_Separation			DEMO0234
other	IR	popular	1997	Children of Heaven	en:Children_of_Heaven_(1997_film)			DEMO0235
other	TR	popular	2019	Miracle in Cell No. 7	en:Miracle_in_Cell_No._7_(2019_Turkish_film)			DEMO0236
other	TR	popular	2017	Ayla: The Daughter of War	en:Ayla:_The_Daughter_of_War			DEMO0237
other	IN	popular	2009	3 Idiots	en:3_Idiots			DEMO0238
other	IN	popular	1995	Dilwale Dulhania Le Jayenge	en:Dilwale_Dulhania_Le_Jayenge			DEMO0239
other	IN	popular	2022	RRR	en:RRR_(film)			DEMO0240
other	IN	popular	1975	Sholay	en:Sholay			DEMO0241
other	FR	popular	2001	Amélie	en:Amélie			DEMO0242
other	FR	popular	2011	The Intouchables	en:The_Intouchables			DEMO0243
other	MX	popular	2018	Roma	en:Roma_(2018_film)			DEMO0244
other	BR	popular	2002	City of God	en:City_of_God_(2002_film)			DEMO0245
other	IT	popular	1997	Life Is Beautiful	en:Life_Is_Beautiful			DEMO0246
other	IT	popular	1988	Cinema Paradiso	en:Cinema_Paradiso			DEMO0247
other	DE	popular	2006	The Lives of Others	en:The_Lives_of_Others			DEMO0248
other	DE	popular	2004	Downfall	en:Downfall_(2004_film)			DEMO0249
other	DE	popular	2022	All Quiet on the Western Front	en:All_Quiet_on_the_Western_Front_(2022_film)			DEMO0250
other	IT	popular	1948	Bicycle Thieves	en:Bicycle_Thieves			DEMO0251
other	DE	popular	1981	Das Boot	en:Das_Boot			DEMO0252
other	DK	popular	2020	Another Round	en:Another_Round_(film)			DEMO0253
other	DE	popular	1998	Run Lola Run	en:Run_Lola_Run			DEMO0254
other	IN	popular	2016	Dangal	en:Dangal_(2016_film)			DEMO0255
# ---- Other languages: mid (30) ----
other	KR	mid	2003	Memories of Murder	en:Memories_of_Murder			DEMO0256
other	KR	mid	2018	Burning	en:Burning_(2018_film)			DEMO0257
other	KR	mid	2022	Decision to Leave	en:Decision_to_Leave			DEMO0258
other	JP	mid	1953	Tokyo Story	en:Tokyo_Story			DEMO0259
other	JP	mid	1950	Rashomon	en:Rashomon			DEMO0260
other	JP	mid	1988	Akira	en:Akira_(1988_film)			DEMO0261
other	JP	mid	2018	Shoplifters	en:Shoplifters_(film)			DEMO0262
other	JP	mid	2021	Drive My Car	en:Drive_My_Car_(film)			DEMO0263
other	JP	mid	2023	Perfect Days	en:Perfect_Days			DEMO0264
other	HK	mid	2000	In the Mood for Love	en:In_the_Mood_for_Love			DEMO0265
other	HK	mid	1994	Chungking Express	en:Chungking_Express			DEMO0266
other	CN	mid	1994	To Live	en:To_Live_(1994_film)			DEMO0267
other	IR	mid	2016	The Salesman	en:The_Salesman_(2016_film)			DEMO0268
other	IR	mid	1990	Close-Up	en:Close-Up_(1990_film)			DEMO0269
other	TR	mid	2014	Winter Sleep	en:Winter_Sleep_(film)			DEMO0270
other	TR	mid	2011	Once Upon a Time in Anatolia	en:Once_Upon_a_Time_in_Anatolia			DEMO0271
other	TR	mid	2015	Mustang	en:Mustang_(film)			DEMO0272
other	IN	mid	2013	The Lunchbox	en:The_Lunchbox			DEMO0273
other	IN	mid	1955	Pather Panchali	en:Pather_Panchali			DEMO0274
other	FR	mid	1995	La Haine	en:La_Haine			DEMO0275
other	FR	mid	1959	The 400 Blows	en:The_400_Blows			DEMO0276
other	FR	mid	2019	Portrait of a Lady on Fire	en:Portrait_of_a_Lady_on_Fire			DEMO0277
other	FR	mid	2023	Anatomy of a Fall	en:Anatomy_of_a_Fall			DEMO0278
other	AR	mid	2009	The Secret in Their Eyes	en:The_Secret_in_Their_Eyes			DEMO0279
other	AR	mid	2014	Wild Tales	en:Wild_Tales_(film)			DEMO0280
other	ES	mid	2002	Talk to Her	en:Talk_to_Her			DEMO0281
other	SE	mid	1957	The Seventh Seal	en:The_Seventh_Seal			DEMO0282
other	MX	mid	2001	Y Tu Mamá También	en:Y_Tu_Mamá_También			DEMO0283
other	SE	mid	2008	Let the Right One In	en:Let_the_Right_One_In_(film)			DEMO0284
other	NO	mid	2021	The Worst Person in the World	en:The_Worst_Person_in_the_World_(film)			DEMO0285
# ---- Other languages: niche (15) ----
other	KR	niche	2010	Poetry	en:Poetry_(film)			DEMO0286
other	JP	niche	1962	Harakiri	en:Harakiri_(1962_film)			DEMO0287
other	TW	niche	2000	Yi Yi	en:Yi_Yi			DEMO0288
other	IR	niche	1997	Taste of Cherry	en:Taste_of_Cherry			DEMO0289
other	IR	niche	1987	Where Is the Friend's House?	en:Where_Is_the_Friend's_House?			DEMO0290
other	TR	niche	2002	Distant	en:Distant_(2002_film)			DEMO0291
other	IN	niche	2015	Masaan	en:Masaan			DEMO0292
other	DE	niche	2016	Toni Erdmann	en:Toni_Erdmann			DEMO0293
other	RU	niche	1979	Stalker	en:Stalker_(1979_film)			DEMO0294
other	RU	niche	1966	Andrei Rublev	en:Andrei_Rublev_(film)			DEMO0295
other	PL	niche	2013	Ida	en:Ida_(film)			DEMO0296
other	ID	popular	2011	The Raid	en:The_Raid_(2011_film)			DEMO0297
other	SN	niche	2019	Atlantics	en:Atlantics			DEMO0298
other	SE	niche	1966	Persona	en:Persona_(1966_film)			DEMO0299
other	HU	niche	2015	Son of Saul	en:Son_of_Saul			DEMO0300
# C-16 expansion (board O-5, owner approved 2026-09-05): 125 rows from catalog.expansion.candidates.tsv, verified Wikidata QIDs with IMDb ids; slice from the home country (Arab League -> ar, anglophone -> en, else other), tier from Wikidata sitelink breadth (>=60 popular, >=25 mid, else niche).
other	BF	niche	1982	Wend Kuuni	en:Wend_Kuuni			DEMO0301
other	BW	mid	1980	The Gods Must Be Crazy	en:The_Gods_Must_Be_Crazy			DEMO0302
other	CD	mid	2017	Félicité	en:Félicité_(2017_film)			DEMO0303
other	ET	niche	2008	Teza	en:Teza_(film)			DEMO0304
other	KE	niche	2018	Rafiki	en:Rafiki_(film)			DEMO0305
other	KE	niche	2012	Nairobi Half Life	en:Nairobi_Half_Life			DEMO0306
other	KE	niche	2018	Supa Modo	en:Supa_Modo			DEMO0307
other	ML	niche	1987	Yeelen	en:Yeelen			DEMO0308
other	ML	niche	2006	Bamako	en:Bamako_(film)			DEMO0309
other	NG	niche	2018	Lionheart	en:Lionheart_(2018_film)			DEMO0310
other	NG	niche	2014	Half of a Yellow Sun	en:Half_of_a_Yellow_Sun_(film)			DEMO0311
other	SN	niche	2024	Dahomey	en:Dahomey_(film)			DEMO0312
other	SN	niche	1966	Black Girl	en:Black_Girl_(1966_film)			DEMO0313
other	SN	niche	1973	Touki Bouki	en:Touki_Bouki			DEMO0314
other	SN	niche	2004	Moolaadé	en:Moolaadé			DEMO0315
other	SN	niche	1992	Hyènes	en:Hyenas_(1992_film)			DEMO0316
other	SN	niche	1975	Xala	en:Xala			DEMO0317
other	ZA	mid	2005	Tsotsi	en:Tsotsi			DEMO0318
other	ZA	mid	1989	A Dry White Season	en:A_Dry_White_Season			DEMO0319
