qid	slice	region_hint	title_en	year	imdb	sitelinks	reason
Q156516	eeurope	RS	Underground	1995	tt0114787	42	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q147878	eeurope	RU	Ivan's Childhood	1962	tt0056111	51	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q333637	eeurope	RU	Well, Just You Wait!	1969	tt0234355	51	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q1127167	eeurope	RU	Burnt by the Sun	1994	tt0111579	47	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q1130395	eeurope	RU	Come and See	1985	tt0091251	44	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q15972383	eeurope	RU	Leviathan	2014	tt2802154	44	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q829250	eeurope	RU	Man with a Movie Camera	1929	tt0019760	42	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q714524	eeurope	RU	The Cranes Are Flying	1957	tt0050634	41	Eastern Europe / Central Asia is thin (Russia 2, Poland 1, Hungary 1) with several major national cinemas at zero.
Q7712287	genre_fill	ID	The Act of Killing	2012	tt2375605	27	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q23925023	genre_fill	IR	Under the Shadow	2016	tt4273292	17	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q274520	genre_fill	JP	Grave of the Fireflies	1988	tt0095327	57	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q531328	genre_fill	JP	Ring	1998	tt0178868	36	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q565130	genre_fill	JP	Audition	1999	tt0235198	32	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q61456310	genre_fill	MK	Honeyland	2019	tt8991268	25	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q1417721	genre_fill	US	Man on Wire	2008	tt1155592	25	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q17061299	genre_fill	US	A Girl Walks Home Alone at Night	2014	tt2326554	19	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q511914	genre_fill	US	Hoop Dreams	1994	tt0110057	15	Fills genres near-zero in the current 300: Documentary (3), War (10), Political (2) -- picked to double as regional diversity where possible.
Q309246	latam	AR	The Motorcycle Diaries	2004	tt0318462	45	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q22931120	latam	AR	Zama	2016	tt3409848	20	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q1405016	latam	AR	The Holy Girl	2004	tt0300270	12	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q3214034	latam	AR	La Ciénaga	2001	tt0240419	11	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q538266	latam	BR	Black Orpheus	1959	tt0053146	44	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q1054036	latam	BR	Central Station	1998	tt0140888	28	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q28127580	latam	CL	A Fantastic Woman	2017	tt5639354	39	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q1774421	latam	CL	The Maid	2009	tt1187044	15	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q19824642	latam	CO	Embrace of the Serpent	2015	tt4285496	33	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q925448	latam	CU	Strawberry and Chocolate	1993	tt0106966	28	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q2645467	latam	CU	Memories of Underdevelopment	1968	tt0063291	19	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q18702255	latam	GT	Ixcanul	2015	tt4135844	22	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q216006	latam	MX	Pan's Labyrinth	2006	tt0457430	58	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q852841	latam	MX	Viridiana	1961	tt0055601	39	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q474098	latam	MX	Amores perros	2000	tt0245712	38	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q325662	latam	PE	Aguirre, the Wrath of God	1972	tt0068182	53	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q698111	latam	PE	Fitzcarraldo	1982	tt0083946	41	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q1129420	latam	PE	The Milk of Sorrow	2009	tt1206488	29	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q1507689	latam	PE	Madeinusa	2006	tt0476298	10	Latin America has 5/300 titles (Mexico 2, Argentina 2, Brazil 1) despite being a major world cinema region.
Q3204464	sea	BD	Matir Moina	2002	tt0319836	9	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q13385946	sea	ID	The Raid 2	2014	tt2265171	24	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q29832008	sea	ID	Marlina the Murderer in Four Acts	2017	tt5923026	12	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q118753835	sea	MY	Tiger Stripes	2023	tt10803634	8	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q3472337	sea	MY	Sepet	2004	tt0433692	5	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q26158148	sea	PH	The Woman Who Left	2016	tt5843990	22	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q13099348	sea	PH	Norte, the End of History	2013	tt2852432	11	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q14640617	sea	PH	Metro Manila	2013	tt1845838	9	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q24905214	sea	PK	The Glassworker	2024	tt5986440	19	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q3234769	sea	PK	Jinnah	1998	tt0183306	18	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q2574952	sea	PK	Khamosh Pani	2003	tt0357283	10	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q14912470	sea	PK	Zinda Bhaag	2013	tt2387627	5	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q553901	sea	TH	Uncle Boonmee Who Can Recall His Past Lives	2010	tt1588895	30	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q831437	sea	TH	Ong-Bak: Muay Thai Warrior	2003	tt0368909	27	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q125294821	sea	TH	How to Make Millions Before Grandma Dies	2024	tt31392609	23	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q29465710	sea	TH	Bad Genius	2017	tt6788942	20	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q67087116	sea	TH	Memoria	2021	tt8399288	19	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q594131	sea	TH	Tropical Malady	2004	tt0381668	17	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q19892219	sea	TH	Cemetery of Splendour	2015	tt2818654	11	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q3508807	sea	TH	Syndromes and a Century	2006	tt0477731	7	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
Q1193051	sea	VN	The Scent of Green Papaya	1993	tt0107617	19	Southeast Asia beyond one Indonesian title, and South Asia beyond India, are absent from the current 300.
